area,name,lat,long,status,note,,住所,,,,,,,,
昭島市3,1-1,35.7038092,139.3919738,5,西立川駅南口自転車等駐車場,,東京都昭島市東 町1丁目7番,,,5,,1-完了,,,
昭島市3,1-2,35.7014091,139.3926173,5,東町児童遊園,,東京都昭島市東 町4丁目1番,,,5,,2-異常,,,
昭島市3,1-3,35.7016824,139.3890095,5,東町北部児童遊園,,東京都昭島市東 町4丁目13番,,,5,,,,,
昭島市3,1-4,35.7037452,139.3902024,5,東小学校東門,,東京都昭島市東 町2丁目2番,,,5,,4-要確認,,,
昭島市3,1-5,35.7030483,139.3887701,5,東小学校正門,,東京都昭島市東 町2丁目2番,,,5,,5-異常対応中,,,
昭島市3,1-6,35.7041845,139.3847837,5,総合スポーツセンター北,,東京都昭島市東 町5丁目13番,,,5,,,,,
昭島市3,1-7,35.702502,139.3837444,5,昭和公園西口,,東京都昭島市東 町5丁目13番,,,5,,,,,
昭島市3,1-8,35.7004139,139.385812,5,昭和公園南口,,東京都昭島市東 町5丁目6番,,,5,,,,,
昭島市3,2-1,35.7077981,139.3852161,5,昭島福島町アパート2号棟前広場,,東京都昭島市福島町1008番地,,,0,,,,,
昭島市3,2-2,35.7059594,139.3866396,5,東中神駅北口交通広場,,東京都昭島市もくせいの杜1丁目4番,,,0,,,,,
昭島市3,2-3,35.7105491,139.3835624,5,都営中神第2アパート1号棟北,,東京都昭島市中神町1282番地,,,0,,,,,
昭島市3,2-4,35.7121394,139.38255,5,都営中神第2アパート8号棟南,,東京都昭島市中神町1283番地,,,0,,,,,
昭島市3,2-5,35.7070764,139.3825623,5,富士見丘小学校南,,東京都昭島市福島町890番地,,,0,,,,,
昭島市3,2-6,35.7131299,139.3826853,5,仲町公園,,東京都昭島市中神町1282番地,,,0,,,,,
昭島市3,2-7,35.7087011,139.3820661,5,富士見丘小学校西,,東京都昭島市福島町890番地,,,0,,,,,
昭島市3,2-8,35.7097861,139.3794121,5,富士見公園,,東京都昭島市中神町1277番地,,,0,,,,,
昭島市3,2-9,35.7129348,139.3806591,5,新生公園,,東京都昭島市中神町1256番地,,,0,,,,,
昭島市3,3-1,35.7037857,139.3817004,5,八清ロータリー,,東京都昭島市玉川町3丁目9番,,,5,,,,,
昭島市3,3-2,35.7031863,139.3824315,5,八清公園南,,東京都昭島市玉川町3丁目11番,,,5,,,,,
昭島市3,3-3,35.7068991,139.3776567,5,都営玉川町二丁目アパート,,東京都昭島市玉川町2丁目9番,,,5,,,,,
昭島市3,3-4,35.7057092,139.3786075,5,旧市民交流センター,,東京都昭島市玉川町4丁目9番,,,5,,,,,
昭島市3,3-5,35.7027735,139.3762906,5,玉川児童遊園,,東京都昭島市玉川町5丁目15番,,,5,,,,,
昭島市3,3-6,35.7045811,139.3800412,5,玉川町四丁目児童遊園,,東京都昭島市玉川町4丁目6番,,,5,,,,,
昭島市3,3-7,35.7032562,139.3772224,5,玉川町五丁目道路予定地,,東京都昭島市玉川町5丁目6番,,,5,,,,,
昭島市3,4-1,35.6954748,139.3778813,5,福島中学校東門,,東京都昭島市福島町3丁目20番,,,5,,,,,
昭島市3,4-2,35.6960595,139.3863163,5,あおぞら公園南,,東京都昭島市郷地町2丁目20番,,,5,,,,,
昭島市3,4-3,35.6932744,139.3863544,5,昭島市郷地ポンプ場,,東京都昭島市郷地町3丁目3番,,,5,,,,,
昭島市3,4-4,35.7013618,139.3786756,5,玉川小学校,,東京都昭島市福島町2丁目8番,,,5,,,,,
昭島市3,4-5,35.6941246,139.3884319,5,郷地東児童遊園,,東京都昭島市郷地町2丁目29番,,,5,,,,,
昭島市3,4-6,35.6964527,139.3820854,5,福島会館入口,,東京都昭島市福島町1丁目19番,,,5,,,,,
昭島市3,4-7,35.693338,139.3824013,5,みのり児童遊園,,東京都昭島市福島町3丁目4番,,,5,,,,,
昭島市3,4-8,35.6983379,139.3850555,5,渡部宅北,,東京都昭島市福島町1丁目4番,,,5,,,,,
昭島市3,4-9,35.698983,139.3779312,5,はじめ児童遊園,,東京都昭島市福島町2丁目31番,,,5,,,,,
昭島市3,5-1,35.7093569,139.3774472,5,中神駅北口第一自転車等駐車場,,東京都昭島市中神町1175番地,,,0,,,,,
昭島市3,5-2,35.7130108,139.3756836,5,中神町新畑交差点北,,東京都昭島市中神町1148番地,,,0,,,,,
昭島市3,5-3,35.7148629,139.3737972,5,宮沢文化児童遊園,,東京都昭島市宮沢町500番地73,,,0,,,,,
昭島市3,5-4,35.7162813,139.3747948,5,北文化公園,,東京都昭島市宮沢町515番地,,,0,,,,,
昭島市3,5-5,35.712807,139.3731638,5,土地区画整理事務所,,東京都昭島市中神町1136番地,,,0,,,,,
昭島市3,5-6,35.7094284,139.3757665,5,中神駅北口,,東京都昭島市中神町1179番地5,,,0,,,,,
昭島市3,5-7,35.7130715,139.3798176,5,都営中神アパート西,,東京都昭島市中神町1151番地30,,,0,,,,,
昭島市3,5-8,35.7149738,139.376809,5,北文化公園東交差点,,東京都昭島市宮沢町521番地7,,,0,,,,,
昭島市3,5-9,35.7099247,139.37484,5,中神駅北口第二自転車等駐車場,,東京都昭島市中神町1245番地,,,0,,,,,
昭島市2,6-1,35.7086745,139.376319,2,中神駅南口第一自転車等駐車場西,,東京都昭島市朝日町1丁目1番,,,2,,,,,
昭島市2,6-2,35.7062723,139.3685021,2,都営朝日町四丁目アパート2号棟北,,東京都昭島市朝日町4丁目28番,,,2,,,,,
昭島市2,6-3,35.7068898,139.3734431,2,中神公園,,東京都昭島市朝日町3丁目10番,,,2,,,,,
昭島市2,6-4,35.7057015,139.3727107,2,中神小学校,,東京都昭島市朝日町5丁目8番,,,2,,,,,
昭島市2,6-5,35.703671,139.3691644,2,ジュン美容室北,,東京都昭島市中神町1丁目20番,,,2,,,,,
昭島市2,6-6,35.7057531,139.3711522,2,朝日町いこい公園,,東京都昭島市朝日町4丁目5番,,,2,,,,,
昭島市2,6-7,35.7089103,139.3698756,2,昭島市水道部,,東京都昭島市朝日町4丁目23番,,,2,,,,,
昭島市2,6-8,35.7083832,139.3695726,2,水道部南,,東京都昭島市朝日町4丁目23番,,,2,,,,,
昭島市2,6-9,35.7059079,139.3694491,2,都営朝日町四丁目アパート4号棟北,,東京都昭島市朝日町4丁目14番,,,2,,,,,
昭島市3,7-1,35.6992972,139.3726951,5,中神町二丁目児童遊園,,東京都昭島市中神町2丁目26番,,,5,,,,,
昭島市3,7-2,35.6978327,139.3753204,5,多摩大橋北児童遊園,,東京都昭島市中神町2丁目19番,,,5,,,,,
昭島市3,7-3,35.7013062,139.3738516,5,中神自治会館,,東京都昭島市中神町2丁目2番,,,5,,,,,
昭島市2,7-4,35.7029803,139.3667677,2,東京電力中神変電所,,東京都昭島市中神町1丁目25番,,,2,,,,,
昭島市4,8-1,35.7227195,139.3636609,0,子育てひろばほりむこう,,東京都昭島市美堀町2丁目6番,,,0,,,,,
昭島市2,8-2,35.7139365,139.3610315,2,昭島駅北口広場,,東京都昭島市代官山2丁目3番,,,2,,,,,
昭島市4,8-3,35.723025,139.3570082,0,吉沢宅南（保育園跡地）,,東京都昭島市美堀町3丁目10番,,,0,,,,,
昭島市4,8-4,35.7234752,139.3552427,0,環境コミュニケーションセンター,,東京都昭島市美堀町3丁目8番,,,0,,,,,
昭島市4,8-5,35.724522,139.357222,0,みほり広場,,東京都昭島市美堀町3丁目3番,,,0,,,,,
昭島市4,8-6,35.7153138,139.3555744,0,つつじが丘通り,,東京都昭島市代官山3丁目2番,,,0,,,,,
昭島市4,8-7,35.7171423,139.3537606,0,みほり体育館駐車場,,東京都昭島市美堀町4丁目19番,,,0,,,,,
昭島市4,8-8,35.7200016,139.348353,0,上水南第一公園,,東京都昭島市美堀町5丁目11番,,,0,,,,,
昭島市4,8-9,35.7208749,139.3459999,0,上水南第二公園,,東京都昭島市美堀町5丁目19番,,,0,,,,,
